Gene	log10_ci_low	log10_ci_high	log10_map	group	group2
FAM208A	-1.33924684	-0.60688034	-0.99081134	Autosome	Autosome
FAM208B	-1.84407881	-1.32471425	-1.57123695	Autosome	Autosome
FAM209A	-5.63846651	-0.04020905	-0.97655226	Autosome	Autosome
FAM209B	-6.21425775	-2.16829708	-3.84279981	Autosome	Autosome
FAM20A	-5.36494489	-1.39260369	-1.96222243	Autosome	Autosome
FAM20B	-1.92967466	-0.90182848	-1.40387876	Autosome	Autosome
FAM20C	-1.3534348	-0.10124056	-0.65391	Autosome	Autosome
FAM210A	-6.17425424	-2.12619598	-3.17919916	Autosome	Autosome
FAM210B	-6.22032964	-2.3568179	-3.8418159	Autosome	Autosome
FAM211A	-1.98247515	-0.01291006	-0.77857537	Autosome	Autosome
FAM211B	-6.11998824	-2.00754309	-3.63483321	Autosome	Autosome
FAM212A	-5.78383473	-0.73106965	-1.56569073	Autosome	Autosome
FAM212B	-6.11680792	-1.89027367	-3.04380376	Autosome	Autosome
FAM213A	-6.18250886	-2.18631381	-3.58804837	Autosome	Autosome
FAM213B	-6.00171932	-0.87257379	-1.66411751	Autosome	Autosome
FAM214A	-1.46559583	-0.70061678	-1.10634688	Autosome	Autosome
FAM214B	-2.22719477	-0.76028654	-1.41756954	Autosome	Autosome
FAM216A	-6.12851321	-1.9690121	-3.41136569	Autosome	Autosome
FAM216B	-6.23143275	-2.49747846	-3.96712851	Autosome	Autosome
FAM217A	-6.15256179	-2.15493836	-3.94457211	Autosome	Autosome
FAM219A	-5.69066293	-0.67054049	-1.52843794	Autosome	Autosome
FAM219B	-6.16746513	-1.78828055	-3.5153067	Autosome	Autosome
FAM21A	-6.15043697	-2.6405569	-4.16979857	Autosome	Autosome
FAM21C	-6.10716614	-2.14971339	-3.65047703	Autosome	Autosome
FAM221A	-6.15499704	-2.1464045	-3.55676164	Autosome	Autosome
FAM221B	-6.17794401	-2.23732575	-3.70021667	Autosome	Autosome
FAM222A	-2.09632345	-0.00138486	-0.80874095	Autosome	Autosome
FAM222B	-3.81017139	-0.9532394	-1.6226952	Autosome	Autosome
FAM227A	-6.13586229	-2.12615313	-3.39336151	Autosome	Autosome
FAM227B	-6.05463439	-2.22305404	-3.29868887	Autosome	Autosome
FAM228A	-5.85582021	-0.75056859	-1.58614035	Autosome	Autosome
FAM228B	-6.1503089	-2.00298813	-3.61826043	Autosome	Autosome
FAM229A	-6.19932788	-0.34022037	-1.43417881	Autosome	Autosome
FAM229B	-6.04086641	-0.2234811	-1.1421672	Autosome	Autosome
FAM230A	-6.13552778	-0.2797178	-1.34978347	Autosome	Autosome
FAM24A	-6.15708072	-0.31634238	-1.24257887	Autosome	Autosome
FAM24B	-6.18883255	-0.34109251	-1.3386654	Autosome	Autosome
FAM26E	-6.18008002	-2.08525654	-3.73855899	Autosome	Autosome
FAM32A	-6.15753929	-0.73063374	-1.61742383	Autosome	Autosome
FAM35A	-5.95026752	-1.59291065	-2.16525762	Autosome	Autosome
FAM3B	-6.23904272	-2.35305939	-3.93392072	Autosome	Autosome
FAM3C	-5.97894273	-1.35598284	-1.91960955	Autosome	Autosome
FAM3D	-2.02245402	-0.53834126	-1.28170178	Autosome	Autosome
FAM43A	-3.31488112	-0.0052382	-0.85604615	Autosome	Autosome
FAM43B	-5.50392048	-0.02680418	-0.9903843	Autosome	Autosome
FAM45A	-6.08369095	-1.92351086	-2.75463356	Autosome	Autosome
FAM46A	-1.50149964	-0.0924918	-0.74972131	Autosome	Autosome
FAM46B	-6.13604619	-2.00663906	-3.30957877	Autosome	Autosome
FAM46C	-1.68790993	-0.06782821	-0.74849197	Autosome	Autosome
FAM47E	-6.1166712	-2.03715278	-3.04007127	Autosome	Autosome
FAM49A	-1.66684226	-0.54255756	-1.17175366	Autosome	Autosome
FAM49B	-1.21075597	-0.08727327	-0.56240252	Autosome	Autosome
FAM50B	-5.50566685	-0.61283254	-1.49013824	Autosome	Autosome
FAM53A	-5.22514495	-0.2839483	-1.31724667	Autosome	Autosome
FAM53B	-1.37645983	-0.09060799	-0.66198493	Autosome	Autosome
FAM53C	-3.21305305	-0.81957628	-1.54750971	Autosome	Autosome
FAM57A	-2.66574547	-0.4325299	-1.35084839	Autosome	Autosome
FAM57B	-5.20860619	-0.50437268	-1.4472133	Autosome	Autosome
FAM60A	-1.54905	-0.0904707	-0.69527815	Autosome	Autosome
FAM63A	-6.03384223	-2.12139652	-3.07418865	Autosome	Autosome
FAM63B	-3.04233376	-1.10932045	-1.6725826	Autosome	Autosome
FAM64A	-5.91624288	-1.126874	-1.78939207	Autosome	Autosome
FAM65A	-1.31998449	-0.5215867	-0.96201982	Autosome	Autosome
FAM65B	-1.65586623	-0.82976997	-1.26861152	Autosome	Autosome
FAM65C	-6.13290639	-2.20793216	-3.41767652	Autosome	Autosome
FAM69A	-2.57908493	-0.17892845	-1.20000488	Autosome	Autosome
FAM69B	-5.91780578	-1.37560925	-1.9599553	Autosome	Autosome
FAM71B	-6.06121341	-1.50336313	-2.21962043	Autosome	Autosome
FAM71C	-1.84103747	-0.03662062	-0.79739373	Autosome	Autosome
FAM71F1	-6.08462572	-2.06662938	-3.78947069	Autosome	Autosome
FAM71F2	-6.10307941	-2.05529934	-3.17148748	Autosome	Autosome
FAM72A	-6.03107943	-0.20710543	-1.13432885	Autosome	Autosome
FAM72B	-5.82198559	-0.11124863	-1.03331045	Autosome	Autosome
FAM72C	-6.22206645	-0.36968527	-1.34721182	Autosome	Autosome
FAM73A	-3.40979534	-1.22066082	-1.76462086	Autosome	Autosome
FAM73B	-5.96890381	-1.71284515	-2.43945922	Autosome	Autosome
FAM76A	-5.85819729	-1.4210805	-2.00069828	Autosome	Autosome
FAM76B	-3.14356321	-0.67071011	-1.47712592	Autosome	Autosome
FAM78A	-5.55558166	-0.35621592	-1.35720185	Autosome	Autosome
FAM78B	-5.76683481	-0.43711486	-1.39602502	Autosome	Autosome
FAM81A	-1.57055166	-0.33155129	-0.95831274	Autosome	Autosome
FAM81B	-5.99526238	-2.90640028	-4.79369333	Autosome	Autosome
FAM83A	-6.25261764	-2.53728614	-4.02027182	Autosome	Autosome
FAM83B	-2.37113792	-1.4236319	-1.75504656	Autosome	Autosome
FAM83C	-5.74794905	-1.39954109	-1.97769364	Autosome	Autosome
FAM83D	-5.50246926	-1.17995421	-1.78885551	Autosome	Autosome
FAM83E	-6.18767725	-2.2399679	-3.87185191	Autosome	Autosome
