Gene	log10_ci_low	log10_ci_high	log10_map	group	group2
GID8	-2.2283247	-0.49646328	-1.31298653	Autosome	Autosome
GIF	-6.1974821	-2.32355435	-3.65603727	Autosome	Autosome
GIGYF1	-1.76744968	-1.1761681	-1.46004531	Autosome	Autosome
GIGYF2	-0.94115227	-0.29781597	-0.56221227	Autosome	Autosome
GIMAP1	-6.19102248	-0.33457738	-1.22675662	Autosome	Autosome
GIMAP2	-6.18263054	-0.31622311	-1.27118513	Autosome	Autosome
GIMAP5	-6.17222588	-0.32517649	-1.17664337	Autosome	Autosome
GIMAP6	-6.08107999	-0.24710837	-1.123857	Autosome	Autosome
GIMAP8	-1.79170345	-0.33296799	-1.0795061	Autosome	Autosome
GIN1	-5.6589812	-1.29814788	-1.88776214	Autosome	Autosome
GINM1	-6.11578174	-1.95105961	-2.89703688	Autosome	Autosome
GINS1	-5.85760977	-1.36289746	-1.93764127	Autosome	Autosome
GINS2	-6.14969992	-1.97166569	-2.87943598	Autosome	Autosome
GINS3	-6.13703143	-1.81824246	-2.55237602	Autosome	Autosome
GINS4	-6.19345268	-2.238275	-3.61298948	Autosome	Autosome
GIP	-6.22601875	-2.38985122	-3.78231455	Autosome	Autosome
GIPC1	-1.58948511	-0.08689067	-0.71318428	Autosome	Autosome
GIPC2	-6.19695158	-2.31276639	-4.00165967	Autosome	Autosome
GIPC3	-6.15006743	-1.96806235	-3.50954744	Autosome	Autosome
GIPR	-6.16793717	-2.21323262	-3.65816988	Autosome	Autosome
GIT1	-1.01534294	-0.06392638	-0.4369658	Autosome	Autosome
GIT2	-1.36963208	-0.41947813	-0.92087041	Autosome	Autosome
GJA1	-1.49290862	-0.31830684	-0.93161872	Autosome	Autosome
GJA10	-6.18573515	-2.32117906	-3.66161022	Autosome	Autosome
GJA3	-6.23765315	-2.21533914	-3.8011385	Autosome	Autosome
GJA4	-5.54032479	-0.86802196	-1.61707142	Autosome	Autosome
GJA5	-1.69897226	-0.33898754	-1.03607127	Autosome	Autosome
GJA8	-6.03144365	-1.4069134	-1.9938989	Autosome	Autosome
GJA9	-6.19582733	-2.31185581	-3.58977997	Autosome	Autosome
GJB2	-6.18397765	-2.05597323	-3.39231387	Autosome	Autosome
GJB3	-4.97981377	-0.24681421	-1.28434693	Autosome	Autosome
GJB5	-6.12275599	-1.74977694	-2.90728548	Autosome	Autosome
GJB6	-6.08714022	-1.71544642	-2.34278571	Autosome	Autosome
GJB7	-6.07497558	-1.07104411	-1.94297646	Autosome	Autosome
GJC1	-1.33735808	-0.09267354	-0.69258564	Autosome	Autosome
GJC2	-5.91202351	-0.51319052	-1.44174012	Autosome	Autosome
GJC3	-5.99125294	-1.22061198	-1.85652369	Autosome	Autosome
GJD2	-1.39071569	-0.09361264	-0.68463137	Autosome	Autosome
GJD3	-5.68438876	-0.06221014	-1.03808857	Autosome	Autosome
GJD4	-6.16816786	-0.32387833	-1.35372232	Autosome	Autosome
GK2	-6.17012857	-2.21967194	-3.92301506	Autosome	Autosome
GK5	-6.0697471	-1.99126915	-2.75936746	Autosome	Autosome
GKAP1	-1.65452654	-0.54428115	-1.1367722	Autosome	Autosome
GKN1	-6.20453458	-2.2494146	-4.2262072	Autosome	Autosome
GKN2	-6.06477204	-1.56809511	-2.338917	Autosome	Autosome
GLB1	-5.99908668	-1.77334641	-2.54104954	Autosome	Autosome
GLB1L	-6.03014011	-1.93716064	-2.87839366	Autosome	Autosome
GLB1L2	-6.17367146	-2.27225233	-3.46666421	Autosome	Autosome
GLB1L3	-6.1281249	-2.19589747	-3.30082975	Autosome	Autosome
GLCCI1	-2.07047528	-0.7793388	-1.39732936	Autosome	Autosome
GLCE	-1.77478128	-0.562495	-1.20813188	Autosome	Autosome
GLDC	-6.05171758	-2.07919704	-3.13207647	Autosome	Autosome
GLDN	-6.22647049	-2.38988334	-3.54035267	Autosome	Autosome
GLE1	-6.03500778	-1.91058745	-2.8019764	Autosome	Autosome
GLG1	-5.72277542	-1.83795674	-3.02935356	Autosome	Autosome
GLI1	-5.85662448	-1.65275669	-2.35083144	Autosome	Autosome
GLI2	-1.51559725	-0.73293791	-1.1565898	Autosome	Autosome
GLI3	-0.89115967	-0.05377188	-0.39218067	Autosome	Autosome
GLI4	-6.03846583	-1.43786239	-2.02787485	Autosome	Autosome
GLIPR1	-6.13427399	-2.03191439	-3.14751806	Autosome	Autosome
GLIPR1L1	-5.95678327	-1.31598325	-1.90352458	Autosome	Autosome
GLIPR1L2	-6.19745678	-2.28714051	-3.50058684	Autosome	Autosome
GLIPR2	-6.17104897	-1.99987173	-4.24579989	Autosome	Autosome
GLIS1	-6.1518499	-2.20610081	-3.4531593	Autosome	Autosome
GLIS2	-1.41888675	-0.09266842	-0.70025153	Autosome	Autosome
GLIS3	-5.68988853	-1.47617452	-2.16607075	Autosome	Autosome
GLMN	-5.7885576	-1.48677956	-2.1734804	Autosome	Autosome
GLO1	-6.19388755	-2.23787329	-3.51648786	Autosome	Autosome
GLOD4	-6.1725969	-2.19432784	-3.77067445	Autosome	Autosome
GLP1R	-2.22788866	-1.10283442	-1.55752531	Autosome	Autosome
GLP2R	-4.73157474	-1.22357587	-1.88978337	Autosome	Autosome
GLRA1	-1.65616964	-0.53494033	-1.11825367	Autosome	Autosome
GLRA3	-2.93270938	-1.20016067	-1.74758979	Autosome	Autosome
GLRB	-4.62247894	-1.11889356	-1.73511556	Autosome	Autosome
GLRX	-6.0596157	-1.08134065	-1.79388261	Autosome	Autosome
GLRX2	-5.45963561	-0.00470008	-0.94028495	Autosome	Autosome
GLRX3	-3.23279091	-0.9410625	-1.59384941	Autosome	Autosome
GLRX5	-5.63901917	-0.05203429	-0.99567266	Autosome	Autosome
GLS	-1.4252141	-0.44878847	-0.95229951	Autosome	Autosome
GLS2	-5.91138621	-1.74317095	-2.48296822	Autosome	Autosome
GLT1D1	-6.06113761	-1.76266124	-2.68987511	Autosome	Autosome
GLT6D1	-6.13214095	-0.68341583	-1.60442991	Autosome	Autosome
GLT8D1	-6.00692121	-1.73061121	-2.37096944	Autosome	Autosome
GLT8D2	-6.19488261	-2.30260376	-3.79174132	Autosome	Autosome
GLTP	-2.44492176	-0.00296542	-0.82006618	Autosome	Autosome
GLTPD1	-6.14614658	-1.1617674	-2.08288515	Autosome	Autosome
GLTPD2	-6.14258679	-1.77155146	-2.62074147	Autosome	Autosome
GLTSCR1L	-0.99742502	-0.06557967	-0.41761605	Autosome	Autosome
GLTSCR2	-1.22445393	-0.08357329	-0.5880986	Autosome	Autosome
GLUD1	-5.38741839	-1.01880635	-1.68491155	Autosome	Autosome
GLUL	-1.32011585	-0.09199178	-0.65986546	Autosome	Autosome
GLYAT	-6.24818037	-2.31833169	-3.62445099	Autosome	Autosome
GLYATL1	-6.1279493	-2.05114735	-3.9945123	Autosome	Autosome
GLYATL2	-6.04902329	-1.342327	-1.93131413	Autosome	Autosome
GLYATL3	-6.149478	-2.08733881	-3.17585865	Autosome	Autosome
GLYCTK	-6.00762385	-1.47052051	-2.05232196	Autosome	Autosome
GLYR1	-1.09541896	-0.0723329	-0.51476463	Autosome	Autosome
GM2A	-6.1352672	-1.52461208	-2.41026536	Autosome	Autosome
GMCL1	-5.37337101	-1.22916761	-1.94240952	Autosome	Autosome
GMDS	-1.17268335	-0.07890093	-0.51934168	Autosome	Autosome
GMEB1	-1.30625895	-0.09387059	-0.61908975	Autosome	Autosome
GMEB2	-1.2867374	-0.09158286	-0.63551697	Autosome	Autosome
GMFB	-5.91850087	-1.15136257	-1.81283787	Autosome	Autosome
GMFG	-6.17935704	-2.25668237	-3.88709448	Autosome	Autosome
GMIP	-2.41000302	-1.40034935	-1.75057893	Autosome	Autosome
GML	-6.19378433	-1.47243513	-2.58073306	Autosome	Autosome
GMNC	-5.26181768	-0.32020064	-1.38313684	Autosome	Autosome
GMNN	-6.14677057	-1.74582282	-2.95289707	Autosome	Autosome
GMPPA	-5.98002836	-1.7492175	-2.45619734	Autosome	Autosome
GMPPB	-5.45151539	-0.98022323	-1.67908778	Autosome	Autosome
GMPR	-6.08168614	-1.76270769	-2.67942156	Autosome	Autosome
GMPR2	-6.1208942	-1.98681981	-3.02716646	Autosome	Autosome
GMPS	-1.53540582	-0.49543673	-1.06194817	Autosome	Autosome
GNA11	-1.45623299	-0.08811832	-0.72622766	Autosome	Autosome
GNA12	-1.6155218	-0.08399104	-0.7170083	Autosome	Autosome
GNA13	-1.33545653	-0.09420486	-0.68498639	Autosome	Autosome
GNA14	-6.1505313	-2.2668138	-3.70071102	Autosome	Autosome
GNA15	-5.41727808	-1.09391382	-1.73493517	Autosome	Autosome
GNAI1	-1.72057112	-0.34006261	-1.07078206	Autosome	Autosome
GNAI2	-2.05857119	-0.28396681	-1.16150501	Autosome	Autosome
GNAI3	-5.87770438	-1.51041883	-2.08030829	Autosome	Autosome
GNAL	-1.20171805	-0.08547936	-0.51813411	Autosome	Autosome
GNAO1	-1.63270992	-0.33736521	-1.05435713	Autosome	Autosome
GNAQ	-6.03312881	-1.99599964	-2.94972962	Autosome	Autosome
GNAS	-5.97516331	-1.87877098	-2.54527932	Autosome	Autosome
GNAT1	-6.19936093	-2.27777351	-3.66559635	Autosome	Autosome
GNAT2	-2.94528995	-0.94639013	-1.58406822	Autosome	Autosome
GNAT3	-6.13972533	-2.14182837	-3.41545114	Autosome	Autosome
GNAZ	-1.89627804	-0.0271116	-0.7564821	Autosome	Autosome
GNB1	-1.1964872	-0.08534785	-0.55336458	Autosome	Autosome
GNB1L	-6.22411251	-2.34132634	-3.75518741	Autosome	Autosome
GNB2	-1.30047511	-0.09029411	-0.64829586	Autosome	Autosome
GNB2L1	-1.3011494	-0.08951929	-0.64130348	Autosome	Autosome
GNB3	-6.0028274	-1.65258091	-2.24498527	Autosome	Autosome
GNB4	-4.53118255	-1.05518013	-1.69467464	Autosome	Autosome
GNB5	-6.17541272	-2.19443838	-3.26776813	Autosome	Autosome
GNE	-5.90111381	-1.69447132	-2.4436914	Autosome	Autosome
GNG10	-6.20307075	-2.09448648	-4.2387393	Autosome	Autosome
GNG11	-6.07361481	-0.24550981	-1.19122211	Autosome	Autosome
GNG12	-5.99924841	-0.18934921	-1.1346295	Autosome	Autosome
GNG2	-6.08302096	-0.24814168	-1.19676636	Autosome	Autosome
GNG3	-6.06571956	-0.22748085	-1.13686383	Autosome	Autosome
GNG4	-6.07177017	-0.22823645	-1.13037406	Autosome	Autosome
GNG5	-6.01831345	-0.19757139	-1.13454616	Autosome	Autosome
GNG7	-6.10608449	-0.26320422	-1.17147009	Autosome	Autosome
GNG8	-6.07221634	-0.22774564	-1.16983942	Autosome	Autosome
GNGT1	-6.11631716	-0.64647825	-1.58465676	Autosome	Autosome
GNGT2	-6.0041672	-0.19689187	-1.12911238	Autosome	Autosome
GNL1	-1.31301076	-0.26557225	-0.78066825	Autosome	Autosome
GNL2	-4.42139934	-1.2904961	-1.92379523	Autosome	Autosome
GNL3	-6.07198881	-2.07217073	-3.10670182	Autosome	Autosome
GNLY	-6.12376713	-2.40149077	-3.40557113	Autosome	Autosome
GNMT	-5.87075495	-1.08352727	-1.75386357	Autosome	Autosome
GNPAT	-1.95669951	-1.06663118	-1.46464466	Autosome	Autosome
GNPDA1	-6.17861552	-2.25642481	-3.43650453	Autosome	Autosome
GNPDA2	-5.98277007	-1.23227168	-1.87439162	Autosome	Autosome
GNPNAT1	-6.16933899	-1.89759183	-3.17733855	Autosome	Autosome
GNPTAB	-5.7615255	-1.69522475	-2.38413803	Autosome	Autosome
GNPTG	-6.22327785	-2.38710788	-3.76124021	Autosome	Autosome
GNRH1	-6.08148587	-0.93821552	-1.74480639	Autosome	Autosome
GNRH2	-6.249961	-2.43430078	-3.78870544	Autosome	Autosome
GNRHR	-2.22750389	-0.2401786	-1.15619079	Autosome	Autosome
GNS	-3.0898539	-1.10333185	-1.66702448	Autosome	Autosome
GOLGA1	-2.24870272	-1.41267847	-1.72174829	Autosome	Autosome
GOLGA2	-1.74570467	-1.07395894	-1.40690875	Autosome	Autosome
GOLGA3	-1.65701474	-1.08896952	-1.37719823	Autosome	Autosome
GOLGA4	-1.7719176	-1.28481837	-1.51361857	Autosome	Autosome
GOLGA5	-1.64328012	-0.97072698	-1.33484248	Autosome	Autosome
GOLGA6A	-6.14661209	-2.05846774	-3.87192412	Autosome	Autosome
GOLGA6B	-6.11405997	-2.10055924	-3.46658534	Autosome	Autosome
GOLGA6C	-6.12320424	-1.72315631	-2.48066456	Autosome	Autosome
GOLGA6L2	-6.09017439	-1.82182282	-2.56835032	Autosome	Autosome
GOLGA7	-2.38657766	-0.21091648	-1.19748129	Autosome	Autosome
GOLGA7B	-6.22838985	-2.35182091	-3.61415151	Autosome	Autosome
GOLGA8F	-5.85429788	-0.12829262	-1.04176769	Autosome	Autosome
GOLGA8H	-6.18101945	-2.60827121	-4.3164638	Autosome	Autosome
GOLGA8I	-6.179067	-2.86492891	-5.20941117	Autosome	Autosome
GOLGA8N	-5.95064911	-0.16247379	-1.12935844	Autosome	Autosome
GOLGA8S	-6.30094735	-3.57973799	-5.80037071	Autosome	Autosome
GOLGA8T	-6.2359108	-2.39740437	-3.62207643	Autosome	Autosome
GOLGB1	-1.74641691	-1.30811826	-1.52620816	Autosome	Autosome
GOLIM4	-3.53917	-1.27948589	-1.87159563	Autosome	Autosome
GOLM1	-5.99666825	-1.70281536	-2.45264141	Autosome	Autosome
GOLPH3	-2.70244893	-0.16633582	-1.19416104	Autosome	Autosome
GOLPH3L	-5.38557677	-1.27028499	-1.85050305	Autosome	Autosome
GOLT1A	-2.18423831	-0.00576354	-0.82304941	Autosome	Autosome
GOLT1B	-5.18621083	-0.00373474	-0.92522764	Autosome	Autosome
GON4L	-1.41592731	-0.81705212	-1.14275617	Autosome	Autosome
GOPC	-5.46535089	-1.1619958	-1.88395581	Autosome	Autosome
GORAB	-5.437733	-1.23685016	-1.83114482	Autosome	Autosome
GORASP1	-2.1167254	-0.51050016	-1.29790795	Autosome	Autosome
GORASP2	-1.71944425	-0.55433936	-1.19509265	Autosome	Autosome
GOSR1	-1.26475723	-0.08772187	-0.59538464	Autosome	Autosome
GOSR2	-6.22599901	-2.31119664	-3.79814947	Autosome	Autosome
GOT1	-2.46035929	-1.08313248	-1.58603942	Autosome	Autosome
GOT1L1	-6.0610975	-1.77802063	-2.48526428	Autosome	Autosome
GOT2	-4.04284839	-0.84527947	-1.56983216	Autosome	Autosome
GP1BA	-6.23537017	-2.37630179	-4.49408322	Autosome	Autosome
GP1BB	-6.09832878	-0.24914212	-1.16854326	Autosome	Autosome
GP2	-6.021677	-2.05697	-3.5604514	Autosome	Autosome
GP5	-6.120072	-1.45578668	-2.05463932	Autosome	Autosome
GP6	-5.99191783	-1.52540162	-2.12012796	Autosome	Autosome
GP9	-6.13357058	-0.27872467	-1.24533363	Autosome	Autosome
GPA33	-5.86210427	-1.47520406	-2.03906379	Autosome	Autosome
GPAA1	-5.49673773	-1.2988499	-1.87233184	Autosome	Autosome
GPALPP1	-6.16016629	-2.08023849	-3.04915002	Autosome	Autosome
GPAM	-1.82793229	-1.14106681	-1.47581128	Autosome	Autosome
GPANK1	-6.16041152	-2.22215041	-3.54179159	Autosome	Autosome
GPAT2	-6.13588431	-2.16500485	-3.43129186	Autosome	Autosome
GPATCH1	-5.79710552	-1.70931946	-2.41936299	Autosome	Autosome
GPATCH11	-6.09106598	-1.93157654	-3.05012777	Autosome	Autosome
GPATCH2	-5.85927888	-1.66632993	-2.23175839	Autosome	Autosome
GPATCH2L	-1.5472064	-0.65254756	-1.10553387	Autosome	Autosome
GPATCH3	-6.07184061	-2.06601297	-3.68250306	Autosome	Autosome
GPATCH4	-5.02385857	-0.21214329	-1.27212401	Autosome	Autosome
GPATCH8	-1.03214784	-0.18144684	-0.57946179	Autosome	Autosome
GPBAR1	-6.181509	-1.96482141	-3.5309419	Autosome	Autosome
GPBP1	-2.01942054	-1.02176696	-1.46816763	Autosome	Autosome
GPBP1L1	-6.053948	-1.87118451	-2.82456802	Autosome	Autosome
GPC1	-1.29291159	-0.09102396	-0.59310005	Autosome	Autosome
GPC2	-1.93291011	-0.784314	-1.38323301	Autosome	Autosome
GPC5	-5.61181641	-1.37432114	-1.94683009	Autosome	Autosome
GPC6	-1.50324039	-0.31743841	-0.94173278	Autosome	Autosome
GPCPD1	-1.49733136	-0.48356652	-1.05895629	Autosome	Autosome
GPD1	-5.02819681	-0.51749464	-1.45020651	Autosome	Autosome
GPD1L	-5.75241817	-1.12855081	-1.77044916	Autosome	Autosome
GPD2	-5.64503529	-1.41255916	-2.12201982	Autosome	Autosome
GPER1	-4.31127216	-0.00905453	-0.89767379	Autosome	Autosome
GPHA2	-6.12783668	-2.04843012	-3.37315544	Autosome	Autosome
GPHN	-0.96238149	-0.0582598	-0.45802439	Autosome	Autosome
GPI	-5.77089272	-1.59888455	-2.1875201	Autosome	Autosome
GPIHBP1	-5.45172937	-0.01062262	-0.92967586	Autosome	Autosome
GPLD1	-5.9659837	-1.8631429	-2.63990083	Autosome	Autosome
GPM6A	-1.55802008	-0.08952336	-0.77505382	Autosome	Autosome
GPN1	-5.01502716	-1.09840688	-1.73244749	Autosome	Autosome
GPN2	-6.05112362	-1.60870505	-2.3863808	Autosome	Autosome
GPN3	-5.95449243	-1.62690234	-2.37894901	Autosome	Autosome
GPNMB	-6.02666292	-2.05699124	-3.05506326	Autosome	Autosome
GPR1	-6.16735167	-2.3202617	-4.5629833	Autosome	Autosome
GPR107	-1.99424662	-1.01692034	-1.46135334	Autosome	Autosome
GPR108	-6.03285004	-2.01085129	-3.06207786	Autosome	Autosome
GPR110	-6.08251981	-2.13689504	-3.55075211	Autosome	Autosome
GPR111	-6.07835275	-2.07121123	-3.10470957	Autosome	Autosome
GPR113	-6.05109726	-2.4655835	-3.31229972	Autosome	Autosome
GPR114	-2.36840392	-0.74211829	-1.43909785	Autosome	Autosome
GPR115	-6.18367726	-2.22819708	-3.56590618	Autosome	Autosome
GPR116	-1.90788844	-1.17467572	-1.507794	Autosome	Autosome
GPR12	-1.57816249	-0.08359105	-0.71161555	Autosome	Autosome
GPR123	-5.62597093	-0.90991452	-1.64705765	Autosome	Autosome
GPR124	-3.47365864	-1.42270969	-1.89375181	Autosome	Autosome
GPR125	-1.4077477	-0.66314968	-1.04020607	Autosome	Autosome
GPR126	-2.25393348	-1.42021762	-1.7404065	Autosome	Autosome
GPR128	-6.14275296	-2.16673616	-3.42553504	Autosome	Autosome
GPR132	-6.19438882	-0.7335842	-1.64781042	Autosome	Autosome
GPR133	-5.87943589	-1.68515932	-2.40777406	Autosome	Autosome
GPR135	-6.10905978	-1.59856593	-2.31067845	Autosome	Autosome
GPR137	-1.50811541	-0.31982807	-0.94972251	Autosome	Autosome
GPR137B	-6.01880922	-2.03598779	-3.2914958	Autosome	Autosome
GPR137C	-2.7331276	-0.67789374	-1.46720272	Autosome	Autosome
GPR139	-5.01473008	-0.23663474	-1.27904963	Autosome	Autosome
GPR141	-6.26466742	-2.50646944	-4.51564144	Autosome	Autosome
GPR142	-6.0486668	-1.60094907	-2.41981439	Autosome	Autosome
GPR146	-6.11933079	-1.19901525	-1.89251651	Autosome	Autosome
GPR148	-6.25101999	-2.36887694	-3.94406346	Autosome	Autosome
GPR149	-6.01413213	-1.68881402	-2.26955783	Autosome	Autosome
GPR15	-6.06629177	-1.481914	-2.11368338	Autosome	Autosome
GPR150	-6.13874971	-2.29924979	-3.45287003	Autosome	Autosome
GPR151	-6.22230476	-2.73886004	-4.53172275	Autosome	Autosome
GPR152	-6.22194332	-2.11815224	-3.62421102	Autosome	Autosome
GPR153	-5.8769994	-1.01565926	-1.71470852	Autosome	Autosome
GPR155	-6.0842841	-2.10069957	-3.37114704	Autosome	Autosome
GPR156	-5.92759248	-1.75542348	-2.65725199	Autosome	Autosome
GPR157	-5.37413973	-0.30262146	-1.32430394	Autosome	Autosome
GPR158	-1.60185504	-0.91018342	-1.28428661	Autosome	Autosome
GPR160	-6.18077843	-1.81840654	-2.57162183	Autosome	Autosome
GPR161	-6.17570629	-2.24555187	-3.42833027	Autosome	Autosome
GPR162	-6.18110774	-2.28646802	-3.66350135	Autosome	Autosome
GPR17	-6.10831998	-1.76448664	-3.10446822	Autosome	Autosome
GPR171	-2.01258614	-0.27526961	-1.13038532	Autosome	Autosome
GPR176	-1.35468565	-0.09526831	-0.65849901	Autosome	Autosome
GPR179	-5.41995146	-1.70497839	-2.48193847	Autosome	Autosome
GPR18	-5.56963974	-0.78438266	-1.57401984	Autosome	Autosome
GPR180	-6.16256054	-2.16485194	-3.31213786	Autosome	Autosome
GPR182	-5.90602935	-1.1097202	-1.76977608	Autosome	Autosome
GPR183	-1.80867332	-0.04645688	-0.78167669	Autosome	Autosome
GPR19	-5.69891397	-1.19872377	-1.797259	Autosome	Autosome
GPR20	-5.39971426	-0.00900853	-0.94634144	Autosome	Autosome
GPR21	-1.77414619	-0.05317796	-0.7591479	Autosome	Autosome
GPR22	-1.41920344	-0.29688267	-0.89737163	Autosome	Autosome
GPR25	-6.13951989	-1.67101197	-3.4240117	Autosome	Autosome
GPR26	-1.96155893	-0.30079847	-1.13380649	Autosome	Autosome
GPR27	-5.7298436	-0.07472352	-1.04215803	Autosome	Autosome
GPR3	-6.0496413	-1.02071668	-1.74404534	Autosome	Autosome
GPR31	-6.15392115	-0.28497321	-1.21257035	Autosome	Autosome
GPR35	-6.16293942	-2.1723028	-4.79011322	Autosome	Autosome
GPR37	-2.24380879	-0.75463967	-1.40924605	Autosome	Autosome
GPR37L1	-6.12797132	-1.9851824	-3.08120824	Autosome	Autosome
GPR39	-5.99460258	-1.14648185	-1.89731381	Autosome	Autosome
GPR4	-6.15341445	-1.87213699	-3.03132764	Autosome	Autosome
GPR42	-6.14615224	-1.02838606	-2.3849614	Autosome	Autosome
GPR45	-5.39782366	-0.32331616	-1.34726731	Autosome	Autosome
GPR52	-4.96566323	-0.7563072	-1.54477924	Autosome	Autosome
GPR55	-6.17936604	-2.1094154	-3.50952583	Autosome	Autosome
GPR56	-5.84350618	-1.68332046	-2.26672233	Autosome	Autosome
GPR6	-3.76867784	-0.01187432	-0.83530371	Autosome	Autosome
GPR61	-1.30640425	-0.09223339	-0.66186473	Autosome	Autosome
GPR62	-5.80101393	-0.10349685	-1.0512644	Autosome	Autosome
GPR63	-5.87563783	-1.30206085	-1.87922353	Autosome	Autosome
GPR65	-1.71457353	-0.06325258	-0.73283936	Autosome	Autosome
GPR68	-6.21957342	-2.12418761	-3.47676552	Autosome	Autosome
GPR75	-6.13761273	-2.03330866	-3.32145004	Autosome	Autosome
GPR75-ASB3	-2.24730399	-0.90997617	-1.47387842	Autosome	Autosome
GPR78	-6.06712317	-1.39404751	-2.2517108	Autosome	Autosome
GPR83	-6.02664241	-1.58810246	-2.18641201	Autosome	Autosome
GPR84	-6.16959701	-2.19138887	-3.29177464	Autosome	Autosome
GPR85	-1.80971218	-0.04378765	-0.83859362	Autosome	Autosome
GPR87	-5.7585086	-1.14202382	-1.77517686	Autosome	Autosome
GPR88	-3.5159696	-0.00722731	-0.86431426	Autosome	Autosome
GPR89A	-6.14206134	-2.17711809	-3.34020788	Autosome	Autosome
GPR89B	-6.05789803	-2.03891415	-3.82960895	Autosome	Autosome
GPR97	-6.01471728	-1.83403849	-2.46720113	Autosome	Autosome
GPR98	-2.12598764	-1.62544596	-1.81883706	Autosome	Autosome
GPRC5A	-6.12781559	-2.14175302	-4.17625908	Autosome	Autosome
GPRC5B	-5.45325334	-0.98649698	-1.67357947	Autosome	Autosome
GPRC5C	-1.90661043	-0.31227794	-1.11775465	Autosome	Autosome
GPRC5D	-6.15434794	-2.10061404	-3.40532952	Autosome	Autosome
GPRC6A	-6.30065172	-3.08580705	-5.5640599	Autosome	Autosome
GPRIN1	-2.3736353	-0.7344784	-1.44206016	Autosome	Autosome
GPRIN2	-6.20139842	-2.15972467	-3.58385299	Autosome	Autosome
GPRIN3	-5.87763078	-1.4476876	-2.01183485	Autosome	Autosome
GPS1	-1.19313576	-0.08460002	-0.51234837	Autosome	Autosome
GPS2	-1.90584352	-0.55128025	-1.24157462	Autosome	Autosome
GPSM1	-1.99817381	-0.9432406	-1.45619928	Autosome	Autosome
GPSM2	-6.07954834	-2.16959615	-3.47750269	Autosome	Autosome
GPSM3	-5.54306714	-0.32907178	-1.34672534	Autosome	Autosome
GPT	-6.03212377	-2.07811826	-3.03195694	Autosome	Autosome
GPT2	-1.24469322	-0.25229092	-0.51056379	Autosome	Autosome
GPX1	-6.17915816	-2.19732288	-4.25667992	Autosome	Autosome
GPX2	-6.23925955	-2.49029748	-4.08804455	Autosome	Autosome
GPX3	-1.61994306	-0.0808025	-0.70707349	Autosome	Autosome
GPX4	-5.94441714	-1.18630324	-1.82545287	Autosome	Autosome
GPX5	-3.10819606	-0.00451155	-0.84837674	Autosome	Autosome
GPX6	-6.18916018	-2.11734768	-3.66953057	Autosome	Autosome
GPX7	-6.11874713	-2.01062979	-3.21594167	Autosome	Autosome
GPX8	-6.05424394	-1.06184747	-1.80898851	Autosome	Autosome
GRAMD1A	-5.96807062	-2.26179706	-3.25079207	Autosome	Autosome
GRAMD1B	-1.57930436	-0.67238149	-1.14225532	Autosome	Autosome
GRAMD1C	-5.97557414	-1.99240057	-2.97836382	Autosome	Autosome
GRAMD2	-6.17093264	-2.21296407	-3.1550705	Autosome	Autosome
GRAMD3	-6.03427389	-1.96717928	-3.43235601	Autosome	Autosome
GRAMD4	-1.00624949	-0.06663182	-0.46052434	Autosome	Autosome
GRAP	-5.48648666	-0.00956864	-0.93981192	Autosome	Autosome
GRAP2	-2.57243858	-1.13179583	-1.62524433	Autosome	Autosome
GRASP	-1.35501813	-0.09566954	-0.69620596	Autosome	Autosome
GRB10	-2.07398031	-1.14545081	-1.53996686	Autosome	Autosome
GRB14	-5.91865595	-1.61869261	-2.32931954	Autosome	Autosome
GRB2	-1.33780868	-0.09799376	-0.66019848	Autosome	Autosome
GRB7	-6.01243544	-1.85647166	-2.61905889	Autosome	Autosome
GREB1	-2.00535716	-1.37916401	-1.63799051	Autosome	Autosome
GREB1L	-0.94336616	-0.05942179	-0.43275573	Autosome	Autosome
GREM1	-5.1648694	-0.00342522	-0.86992312	Autosome	Autosome
GREM2	-5.95539321	-0.54802718	-1.45421054	Autosome	Autosome
GRHL1	-1.46147326	-0.46794655	-0.9880808	Autosome	Autosome
GRHL2	-1.33959847	-0.40962572	-0.92717848	Autosome	Autosome
GRHL3	-1.20599419	-0.08295721	-0.57119774	Autosome	Autosome
GRHPR	-6.0665247	-1.79331646	-2.63502858	Autosome	Autosome
GRIA1	-0.97269647	-0.06048221	-0.38056194	Autosome	Autosome
GRIA2	-1.26432122	-0.25199933	-0.76559168	Autosome	Autosome
GRIA4	-1.63460879	-0.93334117	-1.31310456	Autosome	Autosome
GRID1	-1.58012791	-0.66684205	-1.1368985	Autosome	Autosome
GRID2	-1.33808982	-0.52638855	-0.95345379	Autosome	Autosome
GRIK1	-6.06331391	-2.04204507	-2.77046064	Autosome	Autosome
GRIK2	-1.64316521	-0.88005926	-1.29067246	Autosome	Autosome
GRIK3	-1.15001761	-0.21748293	-0.70073533	Autosome	Autosome
GRIK4	-1.75193274	-0.93801579	-1.36877836	Autosome	Autosome
GRIK5	-1.46651417	-0.61200975	-1.04641762	Autosome	Autosome
GRIN1	-1.6568133	-0.8159217	-1.26782943	Autosome	Autosome
GRIN2A	-1.4539022	-0.6019597	-1.06869612	Autosome	Autosome
GRIN2B	-0.93245807	-0.05746729	-0.42984538	Autosome	Autosome
GRIN2C	-6.0187191	-1.86283498	-2.64980626	Autosome	Autosome
GRIN2D	-1.11040303	-0.24188027	-0.46790976	Autosome	Autosome
