gene	GO_BP_count	GO_BP_count_400_auc	GO_BP_count_400_auc_decile
HGNC:10682	9	1	4
HGNC:10683	9	1	4
HGNC:1069	286	10	10
HGNC:10690	6	1	4
HGNC:10691	23	0	1
HGNC:10696	43	1	4
HGNC:10697	49	1	4
HGNC:10698	48	0	1
HGNC:10699	67	1	4
HGNC:1070	73	1	4
HGNC:10700	67	1	4
HGNC:10701	30	0	1
HGNC:10702	29	0	1
HGNC:10703	52	1	4
HGNC:10704	78	2	7
HGNC:10705	33	0	1
HGNC:10706	33	0	1
HGNC:10707	28	0	1
HGNC:1071	339	13	10
HGNC:10710	22	0	1
HGNC:10717	73	1	4
HGNC:10718	79	1	4
HGNC:10719	14	0	1
HGNC:1072	220	8	10
HGNC:10720	12	1	4
HGNC:10721	77	3	9
HGNC:10722	34	2	7
HGNC:10723	131	4	10
HGNC:10724	92	2	7
HGNC:10725	107	3	9
HGNC:10726	90	2	7
HGNC:10727	111	3	9
HGNC:10728	94	2	7
HGNC:10729	119	4	10
HGNC:1073	253	11	10
HGNC:10730	90	2	7
HGNC:10731	121	2	7
HGNC:10732	227	8	10
HGNC:10734	91	2	7
HGNC:10735	90	2	7
HGNC:10736	147	3	9
HGNC:10737	97	2	7
HGNC:10738	125	4	10
HGNC:10739	93	2	7
HGNC:1074	311	12	10
HGNC:10740	90	2	7
HGNC:10741	166	3	9
HGNC:10742	89	1	4
HGNC:10743	80	1	4
HGNC:1075	80	2	7
HGNC:10750	11	1	4
HGNC:10751	27	2	7
HGNC:10752	48	1	4
HGNC:10755	20	0	1
HGNC:10756	20	0	1
HGNC:10757	3	0	1
HGNC:10759	131	4	10
HGNC:1076	206	9	10
HGNC:10760	102	2	7
HGNC:10761	106	4	10
HGNC:10762	89	3	9
HGNC:10763	0	0	1
HGNC:10765	27	1	4
HGNC:10766	53	2	7
HGNC:10767	27	1	4
HGNC:10768	27	1	4
HGNC:10769	19	0	1
HGNC:1077	202	5	10
HGNC:10770	39	0	1
HGNC:10771	39	0	1
HGNC:10773	145	3	9
HGNC:10774	179	3	9
HGNC:10776	332	11	10
HGNC:10777	276	11	10
HGNC:10778	146	3	9
HGNC:10779	104	2	7
HGNC:1078	256	6	10
HGNC:10780	35	1	4
HGNC:10781	65	1	4
HGNC:10782	19	0	1
HGNC:10783	78	1	4
HGNC:10784	27	1	4
HGNC:10785	57	0	1
HGNC:10786	48	1	4
HGNC:10787	73	3	9
HGNC:10788	96	3	9
HGNC:10789	55	0	1
HGNC:10790	47	1	4
HGNC:10791	52	1	4
HGNC:10798	16	1	4
HGNC:10799	2	0	1
HGNC:108	102	1	4
HGNC:1080	68	1	4
HGNC:10801	18	0	1
HGNC:10802	2	0	1
HGNC:10803	90	2	7
HGNC:10805	19	1	4
HGNC:10806	16	0	1
HGNC:10807	51	2	7
HGNC:10808	11	1	4
HGNC:10809	14	0	1
HGNC:1081	88	1	4
HGNC:10810	156	3	9
HGNC:10812	86	2	7
HGNC:10816	60	2	7
HGNC:10817	91	3	9
HGNC:10818	19	0	1
HGNC:10819	97	3	9
HGNC:1082	25	1	4
HGNC:10821	27	0	1
HGNC:10822	8	0	1
HGNC:10824	78	1	4
HGNC:10825	10	0	1
HGNC:10826	75	3	9
HGNC:10827	59	2	7
HGNC:1083	23	0	1
HGNC:10830	28	0	1
HGNC:10831	102	2	7
HGNC:10832	43	1	4
HGNC:10833	95	5	10
HGNC:10834	0	0	1
HGNC:10838	29	0	1
HGNC:10839	0	0	1
HGNC:1084	131	4	10
HGNC:10840	193	6	10
HGNC:10845	49	1	4
HGNC:10847	62	2	7
HGNC:10848	313	14	10
HGNC:1085	108	2	7
HGNC:10850	103	2	7
HGNC:10852	106	2	7
HGNC:10854	149	4	10
HGNC:10856	6	0	1
HGNC:10857	112	3	9
HGNC:10858	137	4	10
HGNC:10860	79	3	9
HGNC:10861	24	0	1
HGNC:10862	75	2	7
HGNC:10863	34	1	4
HGNC:10864	69	3	9
HGNC:10866	34	1	4
HGNC:10867	26	1	4
HGNC:10869	40	0	1
HGNC:1087	148	4	10
HGNC:10870	88	1	4
HGNC:10871	37	0	1
HGNC:10872	31	0	1
HGNC:10874	4	1	4
HGNC:10875	7	1	4
HGNC:10876	4	1	4
HGNC:10877	12	1	4
HGNC:10878	13	1	4
HGNC:10879	76	1	4
HGNC:10880	16	1	4
HGNC:10882	62	0	1
HGNC:10883	78	1	4
HGNC:10884	30	2	7
HGNC:10885	51	4	10
HGNC:10886	261	11	10
HGNC:10887	192	8	10
HGNC:10888	129	4	10
HGNC:10889	131	5	10
HGNC:10890	170	8	10
HGNC:10891	104	3	9
HGNC:10892	62	0	1
HGNC:10894	159	7	10
HGNC:10895	108	6	10
HGNC:10896	184	5	10
HGNC:10897	186	4	10
HGNC:10898	37	1	4
HGNC:10899	74	1	4
HGNC:1090	36	2	7
HGNC:10901	106	1	4
HGNC:10902	31	0	1
HGNC:10903	139	5	10
HGNC:10904	27	0	1
HGNC:10905	45	2	7
HGNC:10906	20	1	4
HGNC:10907	197	6	10
HGNC:10908	123	2	7
HGNC:10909	120	2	7
HGNC:10910	26	2	7
HGNC:10911	124	5	10
HGNC:10912	26	2	7
HGNC:10913	34	2	7
HGNC:10914	55	2	7
HGNC:10915	34	2	7
HGNC:10916	12	1	4
HGNC:10917	12	1	4
HGNC:10918	13	1	4
HGNC:10919	13	1	4
HGNC:1092	178	5	10
HGNC:10920	22	1	4
HGNC:10921	52	1	4
HGNC:10922	71	1	4
HGNC:10924	11	1	4
HGNC:10925	9	0	1
HGNC:10926	9	0	1
HGNC:10927	9	0	1
HGNC:10928	14	1	4
HGNC:10929	20	1	4
HGNC:1093	46	1	4
HGNC:10930	18	0	1
HGNC:10931	22	0	1
HGNC:10932	18	0	1
HGNC:10933	23	1	4
HGNC:10934	16	0	1
HGNC:10935	46	0	1
HGNC:10936	17	0	1
HGNC:10937	36	2	7
HGNC:10938	23	1	4
HGNC:10939	220	7	10
HGNC:1094	16	0	1
HGNC:10940	99	2	7
HGNC:10941	108	4	10
HGNC:10942	28	2	7
HGNC:10943	32	3	9
HGNC:10944	25	2	7
HGNC:10945	19	2	7
HGNC:10946	46	1	4
HGNC:10947	17	2	7
HGNC:1095	54	0	1
HGNC:10952	94	1	4
HGNC:10953	12	0	1
HGNC:10955	12	1	4
HGNC:10956	12	1	4
HGNC:10959	32	2	7
HGNC:1096	37	2	7
HGNC:10961	29	2	7
HGNC:10962	32	2	7
HGNC:10963	21	1	4
HGNC:10964	19	0	1
HGNC:10965	1	0	1
HGNC:10966	62	1	4
HGNC:10967	33	1	4
HGNC:10968	26	1	4
HGNC:10969	36	1	4
HGNC:1097	241	6	10
HGNC:10970	21	1	4
HGNC:10971	11	1	4
HGNC:10972	15	1	4
HGNC:10973	74	3	9
HGNC:10974	38	1	4
HGNC:10975	63	2	7
HGNC:10976	68	2	7
HGNC:10977	58	2	7
HGNC:10978	102	4	10
HGNC:10979	45	2	7
HGNC:10980	21	1	4
HGNC:10981	12	1	4
HGNC:10982	105	5	10
HGNC:10983	54	4	10
HGNC:10985	28	1	4
HGNC:10986	36	1	4
HGNC:10987	30	2	7
HGNC:10988	22	3	9
HGNC:10989	14	1	4
HGNC:1099	39	1	4
HGNC:10990	55	3	9
HGNC:10993	44	2	7
HGNC:10994	45	2	7
HGNC:10995	131	5	10
HGNC:10996	33	2	7
HGNC:10997	22	1	4
HGNC:10998	96	4	10
HGNC:10999	34	4	10
HGNC:1100	219	5	10
HGNC:11000	22	1	4
HGNC:11001	22	1	4
HGNC:11002	30	1	4
HGNC:11003	66	2	7
HGNC:11004	43	3	9
HGNC:11005	68	4	10
HGNC:11006	15	1	4
HGNC:11007	23	1	4
HGNC:11009	84	3	9
HGNC:1101	171	6	10
HGNC:11010	29	1	4
HGNC:11011	51	2	7
HGNC:11012	73	1	4
HGNC:11013	37	1	4
HGNC:11014	38	1	4
HGNC:11015	35	1	4
HGNC:11016	25	1	4
HGNC:11017	32	1	4
HGNC:11018	39	1	4
HGNC:11019	89	3	9
HGNC:1102	53	1	4
HGNC:11020	44	0	1
HGNC:11021	26	1	4
HGNC:11023	26	1	4
HGNC:11024	12	1	4
HGNC:11025	21	2	7
HGNC:11026	30	2	7
HGNC:11027	104	6	10
HGNC:11028	51	2	7
HGNC:11029	31	1	4
HGNC:1103	99	1	4
HGNC:11030	83	2	7
HGNC:11033	44	2	7
HGNC:11034	60	1	4
HGNC:11035	26	1	4
HGNC:11036	21	1	4
HGNC:11037	19	1	4
HGNC:11038	54	2	7
HGNC:11039	12	1	4
HGNC:1104	55	0	1
HGNC:11040	44	2	7
HGNC:11041	18	1	4
HGNC:11042	64	1	4
HGNC:11044	29	0	1
HGNC:11045	20	1	4
HGNC:11046	30	1	4
HGNC:11048	32	0	1
HGNC:11049	96	3	9
HGNC:1105	90	1	4
HGNC:11050	128	3	9
HGNC:11051	25	1	4
HGNC:11052	45	1	4
HGNC:11054	16	1	4
HGNC:11056	102	3	9
HGNC:11057	41	2	7
HGNC:11058	13	1	4
HGNC:11059	142	5	10
HGNC:1106	81	2	7
HGNC:11060	17	1	4
HGNC:11062	12	1	4
HGNC:11063	47	2	7
HGNC:11064	13	1	4
HGNC:11065	30	1	4
HGNC:11066	28	2	7
HGNC:11067	18	1	4
HGNC:11068	166	3	9
HGNC:11069	125	1	4
HGNC:1107	213	8	10
HGNC:11070	136	4	10
HGNC:11071	204	7	10
HGNC:11072	27	1	4
HGNC:11073	25	1	4
HGNC:11075	213	8	10
HGNC:11076	15	0	1
HGNC:11077	40	2	7
HGNC:11078	25	1	4
HGNC:1108	150	5	10
HGNC:11085	87	3	9
HGNC:11086	216	8	10
HGNC:11087	101	4	10
HGNC:11088	54	1	4
HGNC:11089	50	2	7
HGNC:1109	0	0	1
HGNC:11092	57	2	7
HGNC:11094	218	7	10
HGNC:11098	113	4	10
HGNC:11099	79	1	4
HGNC:11100	151	4	10
HGNC:11101	109	2	7
HGNC:11102	75	1	4
HGNC:11103	151	3	9
HGNC:11104	135	3	9
HGNC:11105	93	1	4
HGNC:11106	88	0	1
HGNC:11107	71	0	1
HGNC:11108	104	1	4
HGNC:11109	95	2	7
HGNC:11110	95	0	1
HGNC:11112	14	1	4
HGNC:11117	47	1	4
HGNC:11118	47	1	4
HGNC:11119	256	9	10
HGNC:1112	22	2	7
HGNC:11120	158	6	10
HGNC:11121	26	0	1
HGNC:11124	34	2	7
HGNC:11125	55	2	7
HGNC:11126	17	1	4
HGNC:11127	18	2	7
HGNC:11128	179	5	10
HGNC:11131	53	1	4
HGNC:11132	102	3	9
HGNC:11133	53	3	9
HGNC:11134	31	0	1
HGNC:11135	31	0	1
HGNC:11136	31	0	1
HGNC:11137	31	0	1
HGNC:11138	330	12	10
HGNC:11139	46	1	4
HGNC:11140	46	2	7
HGNC:11141	52	0	1
HGNC:11142	123	1	4
HGNC:11148	42	2	7
HGNC:11149	3	0	1
HGNC:11150	62	1	4
HGNC:11151	29	0	1
HGNC:11152	32	1	4
HGNC:11153	44	1	4
HGNC:11155	19	0	1
HGNC:11157	27	1	4
HGNC:11158	27	1	4
HGNC:11159	27	1	4
HGNC:1116	153	6	10
HGNC:11160	34	1	4
HGNC:11161	27	1	4
HGNC:11162	27	1	4
HGNC:11163	27	1	4
HGNC:11164	19	0	1
HGNC:11167	68	2	7
HGNC:11168	4	1	4
HGNC:11169	0	0	1
HGNC:1117	37	0	1
HGNC:11171	1	0	1
HGNC:11172	64	0	1
HGNC:11173	36	0	1
HGNC:11174	107	3	9
