gene	GO_BP_count	GO_BP_count_400_auc	GO_BP_count_400_auc_decile
HGNC:26546	0	0	2
HGNC:26548	14	0	2
HGNC:26550	0	0	2
HGNC:26551	43	1	6
HGNC:26552	0	0	2
HGNC:26553	0	0	2
HGNC:26554	20	2	8
HGNC:26555	7	0	2
HGNC:26556	0	0	2
HGNC:26558	12	1	6
HGNC:26559	85	4	10
HGNC:26560	19	1	6
HGNC:26561	50	0	2
HGNC:26562	0	0	2
HGNC:26563	38	0	2
HGNC:26564	0	0	2
HGNC:26565	17	1	6
HGNC:26567	0	0	2
HGNC:26570	0	0	2
HGNC:26571	0	0	2
HGNC:26572	0	0	2
HGNC:26573	65	1	6
HGNC:26574	0	0	2
HGNC:26575	40	1	6
HGNC:26576	9	0	2
HGNC:26579	0	0	2
HGNC:26582	16	0	2
HGNC:26585	36	0	2
HGNC:26587	0	0	2
HGNC:26588	13	0	2
HGNC:26591	0	0	2
HGNC:26592	0	0	2
HGNC:26594	60	1	6
HGNC:26595	24	2	8
HGNC:26597	0	0	2
HGNC:26599	0	0	2
HGNC:26600	54	1	6
HGNC:26604	54	2	8
HGNC:26606	23	1	6
HGNC:26607	32	1	6
HGNC:2661	137	4	10
HGNC:26611	18	0	2
HGNC:26614	0	0	2
HGNC:26616	1	0	2
HGNC:26617	48	0	2
HGNC:26618	38	1	6
HGNC:2662	300	10	10
HGNC:26620	19	1	6
HGNC:26623	21	1	6
HGNC:26624	42	1	6
HGNC:26625	0	0	3
HGNC:26629	66	1	6
HGNC:2663	96	2	8
HGNC:26632	50	0	3
HGNC:26633	68	0	3
HGNC:26635	15	1	6
HGNC:26636	85	2	8
HGNC:26638	24	1	6
HGNC:26639	23	0	3
HGNC:2664	53	1	6
HGNC:26640	23	1	6
HGNC:26641	42	0	3
HGNC:26643	47	1	6
HGNC:26646	0	0	3
HGNC:26648	51	0	3
HGNC:26649	0	0	3
HGNC:2665	99	5	10
HGNC:26653	20	0	3
HGNC:26654	0	0	3
HGNC:26655	18	0	3
HGNC:26656	0	0	3
HGNC:26657	0	0	3
HGNC:26658	3	0	3
HGNC:2666	207	7	10
HGNC:26661	126	3	9
HGNC:26663	0	0	3
HGNC:26664	38	1	6
HGNC:26665	25	0	3
HGNC:26666	33	2	8
HGNC:26668	0	0	3
HGNC:26669	36	2	8
HGNC:26670	99	4	10
HGNC:26672	17	1	6
HGNC:26673	50	0	3
HGNC:26674	6	1	6
HGNC:26675	17	2	8
HGNC:26676	43	2	8
HGNC:26677	68	1	6
HGNC:26678	66	1	6
HGNC:26679	4	1	6
HGNC:26683	3	0	3
HGNC:26684	53	2	8
HGNC:26685	20	0	3
HGNC:26686	0	0	3
HGNC:26687	50	0	3
HGNC:26688	0	0	3
HGNC:26689	74	1	6
HGNC:26690	61	3	9
HGNC:26693	16	1	6
HGNC:26695	0	0	3
HGNC:26697	18	0	3
HGNC:26698	105	2	8
HGNC:26699	0	0	3
HGNC:26700	18	0	3
HGNC:26703	12	0	3
HGNC:26705	26	1	6
HGNC:26707	0	0	3
HGNC:26709	91	2	8
HGNC:2671	27	1	6
HGNC:26711	0	0	3
HGNC:26714	0	0	3
HGNC:26715	50	0	3
HGNC:26716	19	0	3
HGNC:26717	0	0	3
HGNC:26719	0	0	3
HGNC:2672	107	3	9
HGNC:26720	50	0	3
HGNC:26721	43	1	6
HGNC:26722	93	2	8
HGNC:26723	0	0	3
HGNC:26724	13	0	3
HGNC:26725	20	0	3
HGNC:26726	50	0	3
HGNC:26727	98	4	10
HGNC:26729	0	0	3
HGNC:2673	14	0	3
HGNC:26730	0	0	3
HGNC:26735	14	0	3
HGNC:26736	18	0	3
HGNC:26737	0	0	3
HGNC:2674	145	2	8
HGNC:26740	7	1	6
HGNC:26741	0	0	3
HGNC:26742	12	0	3
HGNC:26745	0	0	3
HGNC:26746	0	0	3
HGNC:2675	79	1	6
HGNC:26750	0	0	3
HGNC:26752	65	1	6
HGNC:26754	25	0	3
HGNC:26755	28	0	3
HGNC:26756	16	1	6
HGNC:26757	64	2	8
HGNC:26758	66	1	6
HGNC:26759	59	1	6
HGNC:2676	190	4	10
HGNC:26762	0	0	3
HGNC:26763	6	0	3
HGNC:26765	50	0	3
HGNC:26766	28	1	6
HGNC:26768	0	0	3
HGNC:26771	19	0	3
HGNC:26773	30	0	3
HGNC:26775	0	0	3
HGNC:26776	79	2	8
HGNC:26777	24	1	6
HGNC:2678	43	1	6
HGNC:26780	93	1	6
HGNC:26781	0	0	3
HGNC:26782	12	1	6
HGNC:26783	76	2	8
HGNC:26784	47	1	6
HGNC:26786	65	1	6
HGNC:26787	0	0	3
HGNC:26789	79	1	6
HGNC:26790	22	0	3
HGNC:26791	0	0	3
HGNC:26795	19	0	3
HGNC:26796	76	1	6
HGNC:26798	0	0	3
HGNC:26799	8	1	6
HGNC:268	101	2	8
HGNC:2680	42	0	3
HGNC:26800	0	0	3
HGNC:26801	34	1	6
HGNC:26802	29	0	3
HGNC:26804	6	0	3
HGNC:26808	77	0	3
HGNC:26809	0	0	3
HGNC:2681	158	1	6
HGNC:26810	37	2	8
HGNC:26811	60	1	6
HGNC:26812	77	1	6
HGNC:26813	0	0	3
HGNC:26814	49	1	6
HGNC:26818	60	0	3
HGNC:26820	23	0	3
HGNC:26821	50	3	9
HGNC:26823	0	0	3
HGNC:26825	13	0	3
HGNC:26827	56	0	3
HGNC:26829	11	0	3
HGNC:2683	61	1	6
HGNC:26831	0	0	3
HGNC:26834	0	0	3
HGNC:26836	13	1	6
HGNC:26838	43	2	8
HGNC:26839	21	1	6
HGNC:2684	56	0	3
HGNC:26841	0	0	3
HGNC:26842	19	1	6
HGNC:26843	0	0	3
HGNC:26845	50	1	6
HGNC:26846	0	0	3
HGNC:26847	40	1	6
HGNC:26848	0	0	3
HGNC:2685	103	3	9
HGNC:26850	43	0	3
HGNC:26851	0	0	3
HGNC:26853	44	1	6
HGNC:26854	0	0	3
HGNC:26856	4	1	6
HGNC:26857	26	1	6
HGNC:26858	28	0	3
HGNC:26861	0	0	3
HGNC:26862	50	0	3
HGNC:26864	0	0	3
HGNC:26866	0	0	3
HGNC:26868	91	1	6
HGNC:2687	56	2	8
HGNC:26876	73	1	6
HGNC:26877	0	0	3
HGNC:26878	63	2	8
HGNC:26879	0	0	3
HGNC:26881	55	1	6
HGNC:26882	4	0	3
HGNC:26883	0	0	3
HGNC:26886	69	2	8
HGNC:26887	58	3	9
HGNC:26888	0	0	3
HGNC:26889	50	0	3
HGNC:2689	90	2	8
HGNC:26890	0	0	3
HGNC:26891	26	0	3
HGNC:26892	25	0	3
HGNC:26894	36	2	8
HGNC:26895	50	0	3
HGNC:26896	79	2	8
HGNC:26897	50	0	3
HGNC:26899	60	0	3
HGNC:269	56	1	6
HGNC:2690	77	1	6
HGNC:26900	12	1	6
HGNC:26901	10	0	3
HGNC:26902	34	1	6
HGNC:26904	31	0	3
HGNC:26905	27	1	6
HGNC:26906	9	0	3
HGNC:26907	47	1	6
HGNC:26909	38	1	6
HGNC:26910	66	1	6
HGNC:26911	0	0	3
HGNC:26912	13	1	6
HGNC:26913	4	1	6
HGNC:26914	19	0	3
HGNC:26916	90	1	6
HGNC:26918	0	0	3
HGNC:26920	19	0	3
HGNC:26921	62	1	6
HGNC:26922	27	1	6
HGNC:26923	32	1	6
HGNC:26924	5	1	6
HGNC:26925	43	0	3
HGNC:26926	98	2	8
HGNC:26927	11	0	3
HGNC:26928	1	0	3
HGNC:26929	17	0	3
HGNC:26931	0	0	3
HGNC:26932	26	1	6
HGNC:26933	33	2	8
HGNC:26934	5	1	6
HGNC:26935	32	1	6
HGNC:26936	80	2	8
HGNC:26937	153	3	9
HGNC:26938	39	2	8
HGNC:26939	19	0	3
HGNC:26940	54	2	8
HGNC:26941	39	1	6
HGNC:26942	85	5	10
HGNC:26943	84	1	6
HGNC:26944	12	1	6
HGNC:26945	11	0	3
HGNC:26946	27	0	3
HGNC:26948	10	0	3
HGNC:2695	96	3	9
HGNC:26950	0	0	3
HGNC:26951	14	1	6
HGNC:26953	32	1	6
HGNC:26954	17	0	3
HGNC:26955	50	0	3
HGNC:26956	102	4	10
HGNC:26957	22	0	3
HGNC:26958	0	0	3
HGNC:26959	0	0	3
HGNC:2696	93	6	10
HGNC:26960	12	1	6
HGNC:26961	51	1	6
HGNC:26963	0	0	3
HGNC:26965	47	2	8
HGNC:26967	0	0	3
HGNC:26968	0	0	3
HGNC:26969	6	1	6
HGNC:2697	65	1	6
HGNC:26970	11	0	3
HGNC:26971	8	0	3
HGNC:26973	23	0	3
HGNC:26974	48	3	9
HGNC:26976	20	1	6
HGNC:26977	15	0	3
HGNC:26978	0	0	3
HGNC:26979	53	2	8
HGNC:2698	7	0	3
HGNC:26980	0	0	3
HGNC:26984	11	0	3
HGNC:26987	48	0	3
HGNC:26988	68	1	6
HGNC:26989	49	0	3
HGNC:26990	0	0	3
HGNC:26991	20	1	6
HGNC:26992	55	3	9
HGNC:26993	24	1	6
HGNC:26994	27	1	6
HGNC:26995	50	0	3
HGNC:26996	0	0	3
HGNC:26998	50	0	3
HGNC:26999	0	0	3
HGNC:270	219	9	10
HGNC:2700	93	2	8
HGNC:27000	39	2	8
HGNC:27001	81	4	10
HGNC:27003	0	0	3
HGNC:27004	0	0	3
HGNC:27005	26	0	3
HGNC:27006	0	0	3
HGNC:27007	16	0	3
HGNC:27009	51	1	6
HGNC:2701	88	2	8
HGNC:27010	14	0	3
HGNC:27011	28	0	3
HGNC:27012	0	0	3
HGNC:27013	70	1	6
HGNC:27014	26	0	3
HGNC:27015	49	1	6
HGNC:27016	0	0	3
HGNC:27017	0	0	3
HGNC:27018	0	0	3
HGNC:27019	22	1	6
HGNC:27020	0	0	3
HGNC:27022	3	0	3
HGNC:27023	6	1	6
HGNC:27025	0	0	3
HGNC:27026	0	0	3
HGNC:27028	0	0	3
HGNC:27029	89	3	9
HGNC:2703	16	0	3
HGNC:27030	2	0	3
HGNC:27031	0	0	3
HGNC:27033	0	0	3
HGNC:27034	6	0	3
HGNC:27035	69	4	10
HGNC:27036	0	0	3
HGNC:27037	0	0	3
HGNC:27038	6	0	3
HGNC:27039	0	0	3
HGNC:2704	30	1	6
HGNC:27046	25	0	3
HGNC:27049	12	1	6
HGNC:2705	160	4	10
HGNC:27050	45	0	3
HGNC:27051	36	1	6
HGNC:27052	5	1	6
HGNC:27056	0	0	3
HGNC:27067	27	0	3
HGNC:2707	233	7	10
HGNC:27071	28	0	3
HGNC:27080	9	0	3
HGNC:27087	35	1	6
HGNC:27088	0	0	3
HGNC:27089	66	3	9
HGNC:2709	57	3	9
HGNC:27091	7	0	3
HGNC:27097	36	0	3
HGNC:271	58	1	6
HGNC:2710	32	1	6
HGNC:27101	140	3	9
HGNC:27102	23	1	6
HGNC:27106	54	1	6
HGNC:2711	66	5	10
HGNC:27110	0	0	3
HGNC:27111	0	0	3
HGNC:27112	0	0	3
HGNC:27113	12	1	6
HGNC:27114	0	0	3
HGNC:27119	0	0	3
HGNC:2712	26	1	6
HGNC:27120	24	1	6
HGNC:2713	7	1	6
HGNC:27139	0	0	3
HGNC:27145	0	0	3
HGNC:27146	101	1	6
HGNC:2715	81	0	3
HGNC:27158	5	0	3
HGNC:2716	54	0	3
HGNC:27160	0	0	3
HGNC:27161	18	1	6
HGNC:27168	32	1	6
HGNC:2717	117	3	9
HGNC:27172	0	0	3
HGNC:2718	40	1	6
HGNC:2719	53	2	8
HGNC:27193	108	4	10
HGNC:27194	13	0	3
HGNC:27196	50	0	3
HGNC:272	82	4	10
HGNC:2720	51	4	10
HGNC:27200	43	2	8
HGNC:2721	8	0	3
HGNC:27220	0	0	3
HGNC:27222	50	0	3
HGNC:27223	0	0	3
HGNC:27229	0	0	3
HGNC:27230	68	1	6
HGNC:27232	19	1	6
HGNC:27234	0	0	3
HGNC:27244	48	1	6
HGNC:27254	45	1	6
HGNC:27256	0	0	3
HGNC:27257	0	0	3
HGNC:27258	38	2	8
HGNC:2726	223	8	10
HGNC:27260	66	1	6
HGNC:27263	28	1	6
HGNC:27265	63	3	9
HGNC:27266	12	0	3
HGNC:27267	0	0	3
HGNC:27268	66	1	6
HGNC:27269	42	2	8
HGNC:2727	28	1	6
HGNC:27270	4	0	3
HGNC:27274	0	0	3
HGNC:27277	4	0	3
HGNC:27279	7	1	6
HGNC:2728	37	1	6
HGNC:27281	27	1	6
HGNC:27283	14	0	3
HGNC:27287	20	2	8
HGNC:27288	45	1	6
HGNC:27289	45	2	8
HGNC:27291	0	0	3
HGNC:27293	1	0	3
HGNC:27295	29	1	6
HGNC:27296	0	0	3
HGNC:27297	0	0	3
HGNC:273	131	3	9
HGNC:2730	118	7	10
HGNC:27301	95	2	8
HGNC:27302	23	0	3
HGNC:27309	31	0	3
HGNC:2731	141	2	8
HGNC:27310	260	12	10
HGNC:27312	35	1	6
HGNC:27314	0	0	3
HGNC:27315	0	0	3
HGNC:27316	20	1	6
HGNC:27318	50	0	3
HGNC:2732	80	2	8
HGNC:27320	0	0	3
HGNC:27321	8	0	3
HGNC:27322	17	1	6
HGNC:27323	0	0	3
HGNC:27329	0	0	3
HGNC:27337	11	1	6
HGNC:27338	25	1	6
HGNC:27339	66	3	9
HGNC:2734	131	4	10
HGNC:27344	0	0	3
HGNC:27346	17	0	3
HGNC:2735	24	1	6
HGNC:27351	16	1	6
HGNC:27356	0	0	3
HGNC:2736	107	3	9
HGNC:27362	0	0	3
HGNC:27363	0	0	3
HGNC:27364	11	1	6
HGNC:27365	18	0	3
HGNC:27371	12	1	6
HGNC:27375	15	0	3
HGNC:27379	30	0	3
HGNC:2738	24	0	3
HGNC:27380	16	1	6
HGNC:27387	42	1	6
HGNC:2739	19	0	3
HGNC:27393	0	0	3
HGNC:27396	42	1	6
HGNC:2740	115	2	8
HGNC:27400	14	1	6
HGNC:27405	148	5	10
HGNC:27406	0	0	3
HGNC:27407	0	0	3
HGNC:2741	21	1	6
HGNC:27411	15	2	8
HGNC:27414	19	1	6
HGNC:27418	0	0	3
HGNC:2742	25	0	3
HGNC:27421	0	0	3
HGNC:27424	47	0	3
HGNC:2743	108	3	9
HGNC:2744	91	2	8
HGNC:27441	17	2	8
HGNC:27442	14	1	6
HGNC:27446	0	0	3
HGNC:27452	58	1	6
HGNC:27453	12	1	6
HGNC:27455	78	1	6
HGNC:2746	143	3	9
HGNC:27465	50	0	3
HGNC:27468	1	0	3
HGNC:2747	107	4	10
HGNC:27475	12	0	3
HGNC:27482	23	0	3
HGNC:2749	23	0	3
HGNC:2750	202	7	10
HGNC:27501	6	0	3
HGNC:27506	0	0	3
HGNC:2752	117	3	9
HGNC:2753	27	0	3
HGNC:27537	47	1	6
HGNC:2754	21	0	3
HGNC:27540	27	0	3
HGNC:27549	0	0	3
HGNC:2755	106	2	8
HGNC:27558	0	0	3
HGNC:27561	20	0	3
HGNC:27563	0	0	3
HGNC:27564	32	1	6
HGNC:27568	0	0	3
HGNC:27571	0	0	3
HGNC:27578	9	0	3
HGNC:27584	34	0	3
HGNC:27596	37	1	6
HGNC:27598	0	0	3
HGNC:2760	19	1	6
HGNC:27603	50	0	3
HGNC:27606	50	0	3
HGNC:27607	4	0	3
HGNC:27609	83	1	6
HGNC:2761	46	0	3
HGNC:27610	26	1	6
HGNC:27611	65	1	6
HGNC:27614	50	0	3
HGNC:27616	0	0	3
HGNC:27619	55	1	6
HGNC:2762	37	0	3
HGNC:27622	15	1	6
HGNC:2763	24	0	3
HGNC:27637	0	0	3
HGNC:27638	39	2	8
HGNC:27639	0	0	3
HGNC:2764	27	0	3
HGNC:27648	20	1	6
HGNC:2765	24	0	3
HGNC:27652	54	0	3
HGNC:27653	8	0	3
HGNC:27655	0	0	3
HGNC:2766	59	2	8
HGNC:2767	32	1	6
HGNC:27678	7	1	6
HGNC:2768	71	2	8
HGNC:27683	99	2	8
HGNC:2769	39	3	9
HGNC:27696	7	0	3
HGNC:277	175	6	10
HGNC:2770	16	1	6
HGNC:27709	43	1	6
HGNC:2771	39	0	3
HGNC:27713	50	0	3
HGNC:27717	86	2	8
HGNC:2772	71	2	8
HGNC:27723	0	0	3
HGNC:27729	37	2	8
HGNC:2773	34	1	6
HGNC:27733	20	1	6
HGNC:27735	41	1	6
HGNC:27740	0	0	3
HGNC:27741	0	0	3
HGNC:27750	0	0	3
HGNC:27752	66	2	8
HGNC:27786	0	0	3
HGNC:278	53	3	9
HGNC:27801	50	0	3
HGNC:27806	24	2	8
HGNC:27814	0	0	3
HGNC:27815	50	0	3
HGNC:27820	31	1	6
HGNC:27828	0	0	3
HGNC:27829	24	1	6
HGNC:27843	37	2	8
HGNC:27845	67	1	6
HGNC:27849	22	1	6
HGNC:27879	5	1	6
HGNC:27880	31	0	3
HGNC:27884	93	2	8
HGNC:27898	12	1	6
HGNC:27900	0	0	3
HGNC:27901	0	0	3
HGNC:27902	0	0	3
HGNC:27905	23	1	6
HGNC:27912	0	0	3
HGNC:27915	0	0	3
HGNC:27916	0	0	3
HGNC:27930	0	0	3
HGNC:27934	54	1	6
HGNC:27936	0	0	3
HGNC:27937	16	0	3
HGNC:27938	0	0	3
HGNC:27945	46	1	6
HGNC:27949	9	0	3
HGNC:27954	11	0	3
HGNC:27960	21	1	6
HGNC:27962	126	3	9
HGNC:27963	68	1	6
HGNC:27972	19	0	3
HGNC:27977	0	0	3
HGNC:27981	17	1	6
HGNC:27984	50	0	3
HGNC:2799	131	5	10
HGNC:27994	65	1	6
HGNC:27997	84	1	6
HGNC:27998	0	0	3
HGNC:280	55	2	8
HGNC:28002	10	0	3
HGNC:28005	27	0	3
HGNC:28006	17	1	6
HGNC:28007	16	0	3
HGNC:28014	0	0	3
HGNC:28018	13	0	3
HGNC:28020	0	0	3
HGNC:28026	0	0	3
HGNC:28027	79	4	10
HGNC:28028	50	0	3
HGNC:28029	8	0	3
HGNC:28030	0	0	3
HGNC:28031	0	0	3
HGNC:28032	20	1	6
HGNC:28033	0	0	3
HGNC:28035	0	0	3
HGNC:28036	0	0	3
HGNC:28037	18	0	3
HGNC:28038	69	1	6
HGNC:28039	0	0	3
HGNC:28040	40	1	6
HGNC:28041	9	0	3
HGNC:28042	32	0	3
HGNC:28043	50	0	3
HGNC:28044	11	0	3
HGNC:28045	4	0	3
HGNC:28046	19	0	3
HGNC:28050	33	1	6
HGNC:28051	0	0	3
HGNC:28052	12	0	3
HGNC:28053	70	2	8
HGNC:28054	63	1	6
HGNC:28055	50	2	8
HGNC:28061	0	0	3
HGNC:28062	50	0	3
HGNC:28063	48	0	3
HGNC:28065	13	1	6
HGNC:28068	50	0	3
HGNC:28070	25	0	3
HGNC:28071	50	0	3
HGNC:28072	14	1	6
HGNC:28073	74	2	8
HGNC:28074	24	1	6
HGNC:28078	0	0	3
HGNC:28079	49	1	6
HGNC:28082	25	0	3
HGNC:28084	56	0	3
HGNC:28086	70	0	3
HGNC:28087	59	0	3
HGNC:28093	31	1	6
HGNC:28095	29	2	8
HGNC:28096	0	0	3
HGNC:28097	0	0	3
HGNC:281	224	8	10
HGNC:2810	68	1	6
HGNC:28101	5	0	3
HGNC:28105	0	0	3
HGNC:28106	14	1	6
HGNC:28107	32	1	6
HGNC:28108	0	0	3
HGNC:28109	17	1	6
HGNC:28110	18	1	6
HGNC:28111	25	0	3
HGNC:28112	49	2	8
HGNC:28114	4	0	3
HGNC:28115	13	0	3
HGNC:28116	60	3	9
HGNC:28117	39	0	3
HGNC:28118	23	0	3
HGNC:28119	54	1	6
HGNC:28121	5	0	3
HGNC:28122	113	5	10
HGNC:28125	17	1	6
HGNC:28127	43	1	6
HGNC:28128	49	2	8
HGNC:28129	5	0	3
HGNC:28130	91	2	8
HGNC:28133	0	0	3
HGNC:28135	29	2	8
HGNC:28136	0	0	3
HGNC:28139	51	3	9
HGNC:28142	0	0	3
HGNC:28143	0	0	3
HGNC:28144	19	0	3
HGNC:28145	13	0	3
HGNC:28147	26	1	6
HGNC:28148	23	0	3
HGNC:28149	0	0	3
HGNC:28150	0	0	3
HGNC:28152	11	0	3
HGNC:28153	42	2	8
HGNC:28154	42	1	6
HGNC:28155	75	2	8
HGNC:28156	6	0	3
HGNC:28157	31	1	6
HGNC:28158	6	0	3
HGNC:28159	4	0	3
HGNC:28160	64	0	3
HGNC:28161	99	3	9
HGNC:28163	12	1	6
HGNC:28164	56	0	3
HGNC:28166	0	0	3
HGNC:28167	52	0	3
HGNC:28171	0	0	3
HGNC:28172	31	0	3
HGNC:28174	21	1	6
HGNC:28177	62	2	8
HGNC:28178	46	1	6
HGNC:28180	30	1	6
HGNC:28183	14	1	6
HGNC:28184	12	0	3
HGNC:28185	14	0	3
HGNC:28187	0	0	3
HGNC:28188	0	0	3
HGNC:28189	0	0	3
HGNC:28191	0	0	3
HGNC:28192	50	0	3
HGNC:28194	3	0	3
HGNC:28196	35	0	3
HGNC:28197	66	1	6
HGNC:28199	19	0	3
HGNC:282	129	5	10
HGNC:28200	66	1	6
HGNC:28201	1	0	3
HGNC:28203	0	0	3
HGNC:28204	0	0	3
HGNC:28206	35	1	6
HGNC:28207	30	1	6
HGNC:28208	49	0	3
HGNC:28209	22	2	8
HGNC:28210	29	0	3
HGNC:28211	0	0	3
HGNC:28212	16	0	3
HGNC:28213	30	1	6
HGNC:28214	30	1	6
HGNC:28216	11	0	3
HGNC:28217	32	2	8
HGNC:28218	18	1	6
HGNC:28221	25	0	3
HGNC:28224	21	1	6
HGNC:28226	37	1	6
HGNC:28228	26	1	6
HGNC:28229	35	1	6
HGNC:28230	50	1	6
HGNC:28233	1	0	3
HGNC:28235	76	1	6
HGNC:28236	0	0	3
HGNC:28237	20	2	8
HGNC:28238	0	0	3
HGNC:28240	44	0	3
HGNC:28242	11	0	3
HGNC:28243	0	0	3
HGNC:28246	14	1	6
HGNC:28249	0	0	3
HGNC:28250	0	0	3
HGNC:28255	0	0	3
HGNC:28261	65	0	3
HGNC:28264	81	1	6
HGNC:28268	2	0	3
HGNC:28270	0	0	3
HGNC:28273	56	1	6
HGNC:28274	0	0	3
HGNC:28275	1	0	3
HGNC:28276	2	0	3
HGNC:28279	29	0	3
HGNC:28280	0	0	3
HGNC:28281	0	0	3
HGNC:28283	65	1	6
HGNC:28285	20	1	6
HGNC:28286	5	0	3
HGNC:28287	25	0	3
HGNC:28288	77	1	6
HGNC:28289	0	0	3
HGNC:28290	0	0	3
HGNC:28291	103	2	8
HGNC:28292	107	2	8
HGNC:28294	25	0	3
HGNC:28295	10	0	3
HGNC:28296	33	1	6
HGNC:28297	0	0	3
HGNC:28299	38	2	8
HGNC:283	124	4	10
HGNC:28300	45	2	8
HGNC:28301	29	0	3
HGNC:28302	0	0	3
HGNC:28303	32	1	6
HGNC:28306	14	1	6
HGNC:28308	0	0	3
HGNC:28309	7	0	3
HGNC:28310	12	1	6
HGNC:28311	25	0	3
HGNC:28313	96	3	9
HGNC:28314	1	0	3
HGNC:28316	7	1	6
HGNC:28317	29	1	6
HGNC:28318	0	0	3
HGNC:28319	0	0	3
HGNC:28320	47	2	8
HGNC:28321	0	0	3
HGNC:28322	50	0	3
HGNC:28323	50	0	3
HGNC:28324	61	2	8
HGNC:28326	13	1	6
HGNC:28328	17	0	3
HGNC:28330	22	0	3
HGNC:28331	26	1	6
HGNC:28332	0	0	3
HGNC:28335	11	0	3
HGNC:28337	128	3	9
HGNC:28338	22	1	6
HGNC:28339	32	0	3
HGNC:28343	20	0	3
HGNC:28344	0	0	3
HGNC:28346	1	0	3
HGNC:28349	57	1	6
HGNC:28350	48	0	3
HGNC:28351	62	0	3
HGNC:28352	28	0	3
HGNC:28354	0	0	3
HGNC:28355	0	0	3
HGNC:28356	40	0	3
HGNC:28357	50	0	3
HGNC:28358	19	0	3
HGNC:28359	0	0	3
HGNC:28360	55	1	6
HGNC:28361	23	2	8
HGNC:28363	50	1	6
HGNC:28365	66	1	6
HGNC:28368	16	1	6
HGNC:28369	61	0	3
HGNC:28370	24	1	6
HGNC:28371	32	3	9
HGNC:28373	0	0	3
HGNC:28375	0	0	3
HGNC:28378	27	0	3
HGNC:28379	0	0	3
HGNC:28380	13	1	6
HGNC:28382	66	1	6
HGNC:28383	12	1	6
HGNC:28384	16	0	3
HGNC:28385	0	0	3
HGNC:28386	0	0	3
HGNC:28387	12	1	6
HGNC:28388	15	1	6
HGNC:28389	75	1	6
HGNC:28390	22	0	3
HGNC:28391	0	0	3
HGNC:28392	6	1	6
HGNC:28393	0	0	3
HGNC:28395	36	1	6
HGNC:28396	61	2	8
HGNC:28397	0	0	3
HGNC:28398	0	0	3
HGNC:28401	67	1	6
HGNC:28403	20	0	3
HGNC:28404	62	2	8
HGNC:28405	83	3	9
HGNC:28406	18	1	6
HGNC:28407	20	2	8
HGNC:28408	5	0	3
HGNC:28409	55	1	6
HGNC:28412	72	2	8
HGNC:28413	0	0	3
HGNC:28415	84	1	6
HGNC:28417	39	1	6
HGNC:28418	66	1	6
HGNC:28419	0	0	3
HGNC:28420	8	1	6
HGNC:28422	20	0	3
HGNC:28423	61	1	6
HGNC:28424	27	1	6
HGNC:28426	87	2	8
HGNC:28428	60	1	6
HGNC:28429	37	1	6
HGNC:2843	45	2	8
HGNC:28430	26	2	8
HGNC:28431	45	1	6
HGNC:28432	0	0	3
HGNC:28433	12	1	6
HGNC:28435	23	0	3
HGNC:28436	0	0	3
HGNC:28437	69	2	8
HGNC:28438	0	0	3
HGNC:28439	46	4	10
HGNC:28440	52	2	8
HGNC:28441	65	1	6
HGNC:28442	0	0	3
HGNC:28443	0	0	3
HGNC:28444	0	0	3
HGNC:28445	50	0	3
HGNC:28448	14	0	3
HGNC:28449	63	1	6
HGNC:2845	14	1	6
HGNC:28450	0	0	3
HGNC:28451	89	2	8
HGNC:28453	33	1	6
HGNC:28454	88	1	6
HGNC:28455	52	1	6
HGNC:28456	25	1	6
HGNC:28458	8	0	3
HGNC:28459	35	1	6
HGNC:2846	12	1	6
HGNC:28460	42	2	8
HGNC:28461	21	1	6
HGNC:28462	72	3	9
HGNC:28464	7	0	3
HGNC:28465	0	0	3
HGNC:28466	30	0	3
HGNC:28467	22	1	6
HGNC:28468	83	2	8
HGNC:28469	17	0	3
HGNC:2847	28	0	3
HGNC:28471	22	1	6
HGNC:28472	7	1	6
HGNC:28473	36	2	8
HGNC:28474	34	0	3
HGNC:28476	6	0	3
HGNC:28477	24	0	3
HGNC:28479	0	0	3
HGNC:28480	0	0	3
HGNC:28482	52	1	6
HGNC:28483	16	0	3
HGNC:28484	97	3	9
HGNC:28486	62	2	8
HGNC:28487	17	0	3
HGNC:28489	1	0	3
HGNC:2849	33	3	9
HGNC:28490	90	0	3
HGNC:28491	0	0	3
HGNC:28492	0	0	3
HGNC:28494	29	2	8
HGNC:28495	133	3	9
HGNC:28496	24	1	6
HGNC:28497	0	0	3
HGNC:28498	13	1	6
HGNC:28499	42	2	8
HGNC:285	49	2	8
HGNC:2850	52	3	9
HGNC:28500	0	0	3
HGNC:28501	50	0	3
HGNC:28503	0	0	3
HGNC:28504	0	0	3
HGNC:28505	49	3	9
HGNC:28506	10	1	6
HGNC:28507	29	1	6
HGNC:28508	17	0	3
HGNC:2851	79	3	9
HGNC:28510	81	2	8
HGNC:28511	0	0	3
HGNC:28512	0	0	3
HGNC:28513	0	0	3
HGNC:28514	4	0	3
HGNC:28517	45	1	6
HGNC:28518	0	0	3
HGNC:28519	53	1	6
HGNC:2852	42	3	9
HGNC:28520	17	2	8
HGNC:28521	40	1	6
HGNC:28522	18	0	3
HGNC:28524	28	1	6
HGNC:28526	24	1	6
HGNC:28527	0	0	3
HGNC:28528	10	0	3
HGNC:28529	150	4	10
HGNC:2853	67	4	10
HGNC:28530	0	0	3
HGNC:28531	30	0	3
HGNC:28532	0	0	3
